ens,time,apcpsfc,tmp2m,tsoil0_10cm,soilw0_10cm,lat,lon
1.0,2025-05-01 00:00:00,,288.5429,287.2268,0.266,41.0,266.0
1.0,2025-05-01 06:00:00,0.049999997,285.21848,286.50217,0.26700002,41.0,266.0
1.0,2025-05-01 12:00:00,0.90999997,285.1373,285.746,0.27100003,41.0,266.0
1.0,2025-05-01 18:00:00,1.1,291.4782,286.746,0.27400002,41.0,266.0
1.0,2025-05-02 00:00:00,0.76,288.86386,287.79678,0.27100003,41.0,266.0
1.0,2025-05-02 06:00:00,0.0,283.9813,286.3868,0.27100003,41.0,266.0
1.0,2025-05-02 12:00:00,0.0,282.75745,284.746,0.27,41.0,266.0
1.0,2025-05-02 18:00:00,4.0,282.42877,284.746,0.3,41.0,266.0
1.0,2025-05-03 00:00:00,1.0,287.0765,285.4806,0.29200003,41.0,266.0
1.0,2025-05-03 06:00:00,0.34,279.98434,284.2498,0.28800002,41.0,266.0
1.0,2025-05-03 12:00:00,0.0,277.9,282.346,0.284,41.0,266.0
1.0,2025-05-03 18:00:00,0.0,287.85165,283.546,0.277,41.0,266.0
1.0,2025-05-04 00:00:00,0.0,288.20236,285.309,0.26900002,41.0,266.0
1.0,2025-05-04 06:00:00,0.0,280.90356,283.799,0.26900002,41.0,266.0
1.0,2025-05-04 12:00:00,0.0,280.11996,282.046,0.27,41.0,266.0
1.0,2025-05-04 18:00:00,0.0,289.80002,283.992,0.264,41.0,266.0
1.0,2025-05-05 00:00:00,0.0,288.92346,285.8998,0.25800002,41.0,266.0
1.0,2025-05-05 06:00:00,0.0,281.4426,284.6344,0.259,41.0,266.0
1.0,2025-05-05 12:00:00,0.0,280.02475,282.99203,0.26000002,41.0,266.0
1.0,2025-05-05 18:00:00,0.0,290.59924,284.946,0.25500003,41.0,266.0
1.0,2025-05-06 00:00:00,0.0,290.93384,287.0744,0.25,41.0,266.0
1.0,2025-05-06 06:00:00,0.0,283.27194,285.8444,0.25100002,41.0,266.0
1.0,2025-05-06 12:00:00,0.0,282.39212,284.392,0.252,41.0,266.0
1.0,2025-05-06 18:00:00,0.0,293.82236,286.346,0.24700001,41.0,266.0
1.0,2025-05-07 00:00:00,0.0,292.73383,288.45822,0.24200001,41.0,266.0
1.0,2025-05-07 06:00:00,0.0,287.80222,287.846,0.24300002,41.0,266.0
1.0,2025-05-07 12:00:00,0.02,286.81293,287.092,0.24400002,41.0,266.0
1.0,2025-05-07 18:00:00,0.01,293.69662,288.19202,0.24000001,41.0,266.0
1.0,2025-05-08 00:00:00,0.4,292.28433,289.5828,0.23700002,41.0,266.0
1.0,2025-05-08 06:00:00,0.1,285.5,288.49203,0.238,41.0,266.0
1.0,2025-05-08 12:00:00,0.0,284.69702,286.99203,0.23900001,41.0,266.0
1.0,2025-05-08 18:00:00,0.4,293.2,287.892,0.23600002,41.0,266.0
1.0,2025-05-09 00:00:00,2.8,288.17465,288.6528,0.24900001,41.0,266.0
1.0,2025-05-09 06:00:00,0.7,287.25613,287.892,0.25300002,41.0,266.0
1.0,2025-05-09 12:00:00,0.2,284.92682,287.092,0.254,41.0,266.0
1.0,2025-05-09 18:00:00,0.1,293.1,287.692,0.24900001,41.0,266.0
1.0,2025-05-10 00:00:00,0.59999996,291.47214,288.9444,0.245,41.0,266.0
1.0,2025-05-10 06:00:00,0.01,284.4,287.792,0.245,41.0,266.0
1.0,2025-05-10 12:00:00,0.089999996,286.3561,286.946,0.245,41.0,266.0
1.0,2025-05-10 18:00:00,1.0,288.12137,286.69202,0.245,41.0,266.0
1.0,2025-05-11 00:00:00,1.2,286.97943,286.946,0.24900001,41.0,266.0
1.0,2025-05-11 06:00:00,0.8,285.946,286.49203,0.25100002,41.0,266.0
1.0,2025-05-11 12:00:00,0.0,286.7079,286.146,0.25,41.0,266.0
